ASIN,Coupon_image,Coupon_discount,Coupon_name,Coupon_link
B00TB73LKE,https://images-na.ssl-images-amazon.com/images/I/51VoX3LY0jL._SS170_.jpg,  Save up to $3.00,$3 OFF ONE Select Pampers Diapers (excludes trial/travel size),https://www.amazon.com/gp/coupon/-3-off-one-select-pampers-diapers/AUY1IUPQZK1Y?ie=UTF8&glFilterName=121%2C364&heroAsin=B00TB73LKE&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B075QQ8VZW,https://images-na.ssl-images-amazon.com/images/I/31rmyCbyu%2BL._SS170_.jpg,  Save up to $3.00,Save $3 on iHealth No Touch Thermometer,https://www.amazon.com/gp/coupon/save-3-on-ihealth-no-touch-thermometer/A2VARW8VE1IIDF?ie=UTF8&glFilterName=121%2C364&heroAsin=B075QQ8VZW&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B01BUNHFQM,https://images-na.ssl-images-amazon.com/images/I/51Msq0%2B5DkL._SS170_.jpg,  Save up to $3.00,$3 OFF ONE Tide Pods,https://www.amazon.com/gp/coupon/-3-off-one-tide-pods/A1EHTPCE999FBF?ie=UTF8&glFilterName=121%2C364&heroAsin=B01BUNHFQM&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B00FMWWN6U,https://images-na.ssl-images-amazon.com/images/I/41Yo4bc2uiL._SS170_.jpg,  Save up to $1.00,$1 OFF ONE Select Pampers Wipes 502ct or higher,https://www.amazon.com/gp/coupon/-1-off-one-select-pampers-wipes-502ct-or/A3PDSJRVCZ5MQN?ie=UTF8&glFilterName=121%2C364&heroAsin=B00FMWWN6U&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B07BHXTZVB,https://images-na.ssl-images-amazon.com/images/I/417qZ3q7zGL._SS170_.jpg,  Save up to $3.00,$3 OFF ONE Downy Unstopables,https://www.amazon.com/gp/coupon/-3-off-one-downy-unstopables/A297615PC9JSMN?ie=UTF8&glFilterName=121%2C364&heroAsin=B07BHXTZVB&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B079NMJG5L,https://images-na.ssl-images-amazon.com/images/I/41-Nh0HMqGL._SS170_.jpg,  Save up to 10%,Save 10% on Liquid IV Hydration Multiplier,https://www.amazon.com/gp/coupon/save-10-on-liquid-iv-hydration/A30JZ4FTKFSYIX?ie=UTF8&glFilterName=121%2C364&heroAsin=B079NMJG5L&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B075MPR873,https://images-na.ssl-images-amazon.com/images/I/41TNs31cMvL._SS170_.jpg,  Save up to $3.00,$3 OFF ONE Bounce Sheets,https://www.amazon.com/gp/coupon/-3-off-one-bounce-sheets/A1B83T7RCTKN9D?ie=UTF8&glFilterName=121%2C364&heroAsin=B075MPR873&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B07BLNXSQD,https://images-na.ssl-images-amazon.com/images/I/51e4n-Q7ZbL._SS170_.jpg,  Save up to $2.00,$2 OFF ONE Downy Fabric Enhancer,https://www.amazon.com/gp/coupon/-2-off-one-downy-fabric-enhancer/AWX5O1KHY8VCU?ie=UTF8&glFilterName=121%2C364&heroAsin=B07BLNXSQD&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B07N8SJ5GF,https://images-na.ssl-images-amazon.com/images/I/51pACWwEoYL._SS170_.jpg,  Save up to $2.00,$2 OFF ONE Gain Liquid Detergent,https://www.amazon.com/gp/coupon/-2-off-one-gain-liquid-detergent/A3C6MN741J816C?ie=UTF8&glFilterName=121%2C364&heroAsin=B07N8SJ5GF&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
B0773S1Z9Q,https://images-na.ssl-images-amazon.com/images/I/518pDnw8glL._SS170_.jpg,  Save up to $3.00,$3 OFF ONE Febreze Fabric Refresher 2x800ml Small Spaces Heavy Duty 3ct Car Vent Clip 4ct Wax Melts 4ct,https://www.amazon.com/gp/coupon/-3-off-one-febreze-fabric-refresher/A1XQA1VTZ7BPFR?ie=UTF8&glFilterName=121%2C364&heroAsin=B0773S1Z9Q&source=catp_db_Test%20Node&pf_rd_p=f3d17307-0bc4-4a6c-9ec2-6b67930d1377&pf_rd_s=merchandised-search-3&pf_rd_t=Landing&pf_rd_i=Test%20Node&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=JNC3PYBH3RAY703PGD6J
